city,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,co,so2,year,month,day,weekday,hour,aqi_category,pm25_norm,pm10_norm,o3_norm,no2_norm,co_norm,so2_norm
Madrid,89,pm25,2025-06-22,27.63,44.61,9.67,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6572976633931593,0.7309839497557571,0.3355704697986577,0,0,0
Madrid,95,pm25,2025-06-24,23.8,60.03,8.41,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.5275990518117168,1.0,0.26510067114093955,0,0,0
Madrid,94,pm25,2025-06-26,19.72,20.84,12.44,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Moderate,0.38943447341686416,0.3162944870900209,0.4904921700223713,0,0,0
Madrid,92,pm25,2025-06-28,28.2,15.99,12.57,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Moderate,0.6766000677277344,0.2316817864619679,0.4977628635346756,0,0,0
Madrid,94,pm25,2025-06-30,27.86,12.26,15.06,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Moderate,0.6650863528614968,0.16660851360781578,0.6370246085011185,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-06-26,18.33,7.29,11.36,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Good,0.342363697934304,0.0799023028611305,0.43008948545861286,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-06-28,21.45,8.54,11.72,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Good,0.44801896376566197,0.10170969993021632,0.4502237136465324,0,0,0
"Arenula, Roma, Lazio, Italy",34,pm25,2025-06-30,32.29,16.07,14.68,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Good,0.8151032847951236,0.23307745987438938,0.6157718120805368,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-07-02,27.2,12.88,9.93,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.642736200474094,0.17742498255408237,0.3501118568232662,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-07-04,20.86,9.56,11.9,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.42803928208601416,0.11950453593859038,0.4602908277404921,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-07-06,25.36,11.19,7.21,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.5804266847273959,0.1479413817166783,0.19798657718120802,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",47,pm25,2025-07-02,15.12,6.06,11.88,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.23366068405011847,0.05844382414515003,0.45917225950782997,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",50,pm25,2025-07-04,20.96,8.94,13.92,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.4314256688113782,0.10868806699232379,0.5732662192393735,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",50,pm25,2025-07-06,23.92,11.82,11.06,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.5316627158821537,0.15893230983949755,0.41331096196868006,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-08,12.64,5.3,12.76,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Moderate,0.14967829326109042,0.045184926727145844,0.5083892617449663,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",49,pm25,2025-07-10,9.7,3.07,7.45,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.05011852353538769,0.006280530355896718,0.21140939597315433,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",49,pm25,2025-07-12,9.04,4.24,3.67,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.027768371147985048,0.026692254012561065,0.0,0,0,0
